Maji ,Water
Safety,usalama
Salary,mshahara
Sample,sampuli
School,shule
Screen,skrini
Script,hati
Scroll,tembeza
Search,tafuta
Season,msimu
Secret,siri
Secure,salama
Select,chagua
Senior,mwandamizi
Shield,ngao
Should,lazima
Shower,kuoga
Silent,kimya
Single,single
Sister,dada
Smooth,Nyororo
Social,kijamii
Speech,hotuba
Street,mtaani
Strong,nguvu
Sudden,ghafla
Summer,majira ya joto
Supply,usambazaji
Talent,talanta
Temple,hekalu
Thread,uzi
Thrill,msisimko
Throat,koo
Tittle,kichwa
Toilet,choo
Tomato,nyanya
Tongue,ulimi
Travel,kusafiri
Tunnel,handaki
Turtle,kasa
Unseen,isiyoonekana
Update,sasisha
Urgent,haraka
Useful,muhimu
Vacate,kuondoka
Vacuum,utupu
Vapour,mvuke
Verify,thibitisha
Virgin,bikira
Wealth,utajiri
Weekly,kila wiki
Weight,uzito
Winter,majira ya baridi
Winner,mshindi
Wonder,ajabu
Worker,mfanyakazi
Writer,mwandishi
Yearly,kila mwaka
Achieve,kufikia
Advance,mapema
Against,dhidi ya
Already,tayari
Ancient,kale
Anybody,mtu yeyote
Approve,kuidhinisha
Apology,kuomba msamaha
Archive,kumbukumbu
Arrange,panga
Arrival,kuwasili
Article,makala
Attempt,jaribio
Attract,kuvutia
Average,wastani
Bandage,Bandeji
Barrage,ugomvi
Barrier,kizuizi
Because,kwa sababu
Benefit,faida
Between,kati
Cabbage,kabichi
Capture,kukamata
Careful,makini
Carrier,carrier
Century,karne
Certain,fulani
Chamber,chumba
Chapter,sura
Charity,hisani
Climate,hali ya hewa
Coconut,nazi
Collect,kukusanya
College,chuo
Comfort,faraja
Command,amri
Comment,maoni
Company,kampuni
Compare,kulinganisha
Concept,dhana
Concern,wasiwasi
Conduct,mwenendo
Confirm,thibitisha
Connect,kuunganisha
Contact,mawasiliano
Control,kudhibiti
Convert,kubadilisha
Correct,sahihi
Costume,vazi
Cottage,nyumba ndogo
Country,nchi
Courage,ujasiri
Cucumber,tango
Curious,kutaka kujua
Declare,tangaza
Defense,ulinzi
Dentist,Daktari wa meno
Deposit,amana
Despite,licha ya
Destiny,hatima
Destroy,kuharibu
Develop,kuendeleza
Disease,ugonjwa
Display,kuonyesha
Disturb,kuvuruga
Dynasty,nasaba
Eagerly,kwa shauku
Earning,kipato
Eatable,kuliwa
Ecology,ikolojia
Economy,uchumi
Edition,toleo
Elegant,kifahari
Enhance,kuimarisha
Episode,kipindi
Example,mfano
Evening,jioni
Exclude,tenga
Explain,kueleza
Explore,kuchunguza
Educate,kuelimisha
Factory,kiwanda
Failure,kushindwa
Feature,kipengele
Finance,fedha
Flavour,ladha
Fluency,ufasaha
Forever,milele
Further,zaidi
Garment,vazi
General,jumla
Genuine,halisi
Glamour,uzuri
Grammar,sarufi
Grocery,mboga
Habitat,makazi
Harmful,madhara
Harvest,mavuno
Heading,kichwa
Hearing,kusikia
Helpful,kusaidia
History,historia
Holding,kushikilia
Holiday,Sikukuu
Hundred,mia
Husband,mume
Hygiene,usafi
Impress,kuvutia
,
Improve,kuboresha
Include,ni pamoja na
Initial,awali
Inspect,kagua
Inspire,kuhamasisha
Journey,safari
Justice,haki
Leading,inayoongoza
Leather,ngozi
Leaving,kuondoka
Lecture,hotuba
Liberal,huria
Lovable,kupendwa
Luggage,mizigo
Manager,Meneja
Maximum,upeo
Meaning,maana
Measure,kipimo
Medical,matibabu
Message,ujumbe
Migrant,mhamiaji
Mineral,madini
Minimum,kiwango cha chini
Miracle,muujiza
Missile,kombora
Missing,kukosa
Mistake,kosa
Morning,asubuhi
Mustard,haradali
Mystery,siri
Narrate,simulia
Natural,asili
Naughty,mtukutu
Neglect,kupuuza
Neither,wala
Nervous,neva
Network,mtandao
Nothing,hakuna kitu
Observe,tazama
Opening,ufunguzi
Operate,fanya kazi
Opinion,maoni
Organic,kikaboni
Ostrich,mbuni
Package,kifurushi
Painful,chungu
Partial,sehemu
Passage,kifungu
Patient,mgonjwa
Payment,malipo
Penalty,adhabu
Pending,inasubiri
Penguin,pengwini
Pension,pensheni
Perfect,kamili
Perfume,manukato
Popular,maarufu
Pottery,ufinyanzi
Poverty,umaskini
Prevent,kuzuia
Privacy,faragha
,
Private,Privat
Problem,tatizo
Produce,kuzalisha
Propose,pendekeza
Purpose,kusudi
Quality,ubora
Quickly,haraka
Receive,kupokea
Regular,mara kwa mara
Related,kuhusiana
Release,kutolewa
Replace,badala
Reptile,mtambaazi
Request,ombi
Respect,heshima
Respond,jibu
Revenge,kulipiza kisasi
Revenue,mapato
Reverse,kinyume
Robbery,wizi
Romance,mapenzi
Science,sayansi
Serious,serious
Servant,mtumishi
Service,huduma
Similar,sawa
Society,jamii
Sparrow,shomoro
Special,Maalum
Stomach,tumbo
Student,mwanafunzi
Success,mafanikio
Suggest,pendekeza
Suicide,kujiua
Support,msaada
Suspend,kusimamisha
Teacher,mwalimu
Teenage,kijana
Tension,mvutano
Tourism,utalii
Trouble,shida
Uniform,sare
Utility,matumizi
Vacancy,nafasi
Variety,tofauti
Vehicle,gari
Village,kijiji
Vintage,mavuno
Victory,ushindi
Violent,vurugu
Visible,inayoonekana
Visitor,mgeni
Vitamin,vitamini
Walking,kutembea
Wanting,kutaka
Warning,onyo
Wealthy,tajiri
Weather,hali ya hewa
Wedding,harusi
Welcome,karibu
Welfare,ustawi
Winning,kushinda
Working,kufanya kazi
Worried,wasiwasi
Worship,ibada
Writing,kuandika
Abnormal,isiyo ya kawaida
Absolute,kabisa
Accepted,kukubaliwa
Accident,ajali
Accuracy,usahihi
Activate,amilisha
Addition,nyongeza
Adequate,ya kutosha
Affected,walioathirika
Alphabet,alfabeti
Anything,chochote
Anywhere,popote
Appraise,kuthamini
Approach,mbinu
Approval,ruhusa
Argument,hoja
Assemble,kukusanyika
Attitude,mtazamo
Audience,watazamaji
Attorney,wakili
Aviation,anga
Backward,nyuma
Beginner,mwanzilishi
Birthday,siku ya kuzaliwa
Bleeding,Vujadamu
Building,jengo
Campaign,kampeni
Carriage,gari
Children,watoto
Cleavage,kupasuka
Complete,kamili
Conserve,hifadhi
Consider,zingatia
Consumer,mtumiaji
Continue,endelea
Criminal,jinai
Critical,muhimu
Daughter,binti
Decision,uamuzi
Decrease,kupungua
Delicate,maridadi
Delivery,utoaji
Delusion,udanganyifu
Describe,eleza
Disagree,kutokubaliana
Disallow,kutoruhusu
Duration,muda
Economic,kiuchumi
Elephant,tembo
Eligible,kustahiki
Employee,mfanyakazi
Enormous,mkubwa
Entrance,Ingång
Envelope,bahasha
Estimate,makisio
Everyday,kila siku
Exercise,mazoezi
Explicit,wazi
Exposure,kuwemo hatarini
External,ya nje
Facility,kituo
Faithful,mwaminifu
Favorite,favorite
Favorite,favorite
Festival,tamasha
Flexible,kunyumbulika
Friction,msuguano
Generate,kuzalisha
Greeting,salamu
Guardian,mlezi
Heritage,urithi
Horrible,ya kutisha
Hospital,hospitali
Humorous,mcheshi
Identity,utambulisho
Incident,tukio
Increase,Ongeza
Indicate,onyesha
Industry,viwanda
Jealousy,wivu
Learning,kujifunza
Location,eneo
Majority,wengi
Marriage,ndoa
Material,nyenzo
Medicine,dawa
Moderate,wastani
Mosquito,mbu
Mountain,mlima
Narrator,msimulizi
Nutrient,virutubisho
Opposite,kinyume
Original,asili
Ornament,pambo
Painting,uchoraji
Particle,chembe
Patience,subira
Pleasure,furaha
Position,nafasi
Positive,chanya
Possible,inawezekana
Postpone,ahirisha
Powerful,yenye nguvu
Precious,ya thamani
Pregnant,mimba
Pressure,shinikizo
Previous,uliopita
Progress,maendeleo
Prohibit,kataza
Property,mali
Purchase,kununua
Quantity,wingi
Recovery,kupona
Regional,kikanda
Relevant,husika
Religion,dini
Remember,kumbuka
Research,utafiti
Resource,rasilimali
Response,majibu
Restrict,zuia
Revision,marudio
Sensible,mwenye busara
Sentence,sentensi
Separate,tofauti
Stranger,mgeni
Strategy,mkakati
Strength,nguvu
Struggle,mapambano
Suitable,yanafaa
Superior,mkuu
Surprise,mshangao
Swelling,uvimbe
Terrible,ya kutisha
Together,pamoja
Tomorrow,kesho
Training,mafunzo
Transfer,uhamisho
Transmit,sambaza
Treasure,hazina
Umbrella,mwavuli
Universe,ulimwengu
Vacation,likizo
Validate,kuhalalisha
Vertical,wima
Vigorous,yenye nguvu
Violence,vurugu
Vocation,wito
Vomiting,kutapika
Wildlife,wanyamapori
Yielding,kujitoa
Yourself,mwenyewe
Youthful,ujana
Accession,kujiunga
Accessory,nyongeza
Accompany,ongozana
Actualize,timiza
Admirable,ya kupendeza
Advantage,faida
Advisable,inashauriwa
Affection,mapenzi
Affiliate,mshirika
Afternoon,mchana
Aggregate,jumla ya mabao
Agreement,makubaliano
Allowance,posho
Alternate,mbadala
Ambiguous,utata
Animation,uhuishaji
Apologist,mwombezi
Applicant,mwombaji
Architect,mbunifu
Associate,mshirika
Astronomy,elimu ya nyota
Attention,umakini
Attribute,sifa
Authority,mamlaka
Automatic,moja kwa moja
Available,inapatikana
Awareness,ufahamu
Beautiful,mrembo
Behaviour,tabia
Butterfly,kipepeo
Calibrate,rekebisha
Candidate,mgombea
Celebrate,kusherehekea
Challenge,changamoto
Confident,kujiamini
Confusion,mkanganyiko
Conscious,Fahamu
Crocodile,mamba
Curiosity,udadisi
Dangerous,hatari
Delicious,ladha
Democracy,demokrasia
Dependent,tegemezi
Different,tofauti
Difficult,magumu
Discovery,ugunduzi
Dishonest,wasio waaminifu
Diversity,utofauti
Duplicate,nakala
Education,elimu
,
Effective,ufanisi
Emergency,dharura
Equipment,vifaa
Essential,muhimu
Establish,kuanzisha
Evolution,mageuzi
Excellent,bora
Expensive,ghali
Fantastic,ajabu
Fertility,uzazi
Financial,kifedha
Generally,kwa ujumla
Glamorous,mrembo
Happening,kutokea
Household,kaya
Identical,kufanana
Important,muhimu
Incorrect,si sahihi
Incorrupt,wasio na rushwa
Influence,ushawishi
Insurance,bima
Interview,mahojiano
Intestine,utumbo
Introduce,tambulisha
Invention,uvumbuzi
Invisible,asiyeonekana
Irregular,isiyo ya kawaida
Jewellery,vito
Knowledge,maarifa
Liability,Dhima
Misbehave,fanya vibaya
Narration,simulizi
Necessity,umuhimu
Negotiate,kujadiliana
Nutrition,lishe
Offensive,kukera
Partition,kizigeu
Political,kisiasa
Pollution,Uchafuzi
Potential,uwezo
Practical,vitendo
Precision,usahihi
Privilege,upendeleo
Procedure,utaratibu
Prominent,maarufu
Professor,profesa
Promotion,kukuza
Provoking,kuchochea
Qualified,waliohitimu
Reference,kumbukumbu
Repulsion,kukataa
Residence,makazi
Sacrifice,sadaka
Sensitive,nyeti
Something,kitu
Statement,kauli
Subscribe,jiandikishe
Substance,dutu
Sugarcane,muwa
Sunflower,alizeti
Surrender,kujisalimisha
Technical,kiufundi
Temporary,ya muda
Terrorist,kigaidi
Treatment,matibabu
Variation,tofauti
Vegetable,mboga
Virginity,ubikira
Yesterday,jana
Abbreviate,fupisha
Absolutely,kabisa
Absorption,kunyonya
Acceptable,kukubalika
Achievable,kufikiwa
Additional,ziada
Admiration,pongezi
Adolescent,kijana
Adulterant,mzinzi
Adventurer,mzinduzi
Afterwards,baadaye
Aggression,uchokozi
Alteration,mabadiliko
Ambassador,balozi
Analytical,uchambuzi
Antibiotic,antibiotic
Anticipate,tarajia
Appreciate,thamini
Artificial,bandia
Aspiration,hamu
Assignment,kazi
Atmosphere,anga
Attachment,kiambatisho
Attraction,kivutio
Chloroform,klorofomu
Combustion,mwako
Commission,tume
Compassion,huruma
Compulsory,lazima
Conclusion,hitimisho
Confection,chanjo
Corruption,rushwa
Decoration,mapambo
Dedication,kujitolea
Deficiency,upungufu
Definition,ufafanuzi
Department,idara
Depression,huzuni
Dictionary,kamusi
Discipline,nidhamu
Disclaimer,kanusho
Disclosure,kufichua
Discussion,majadiliano
Efficiency,ufanisi
Employment,ajira
Engagement,uchumba
Everything,kila kitu
Everywhere,kila mahali
Exhibition,maonyesho
Experience,uzoefu
Experiment,majaribio
Expiration,kumalizika muda wake
Expression,kujieleza
Fertilizer,mbolea
Foundation,msingi
Generation,kizazi
Government,serikali
Importance,umuhimu
Impossible,haiwezekani
Inadequate,haitoshi
Incomplete,haijakamilika
Incredible,ajabu
Individual,mtu binafsi
Inspection,ukaguzi
Instrument,chombo
Irrigation,umwagiliaji
Journalism,uandishi wa habari
Management,usimamizi
Moderation,kiasi
Motivation,motisha
Negligible,kupuuzwa
Occupation,kazi
Particular,maalum
Passionate,mwenye shauku
Permission,ruhusa
Population,idadi ya watu
Production,uzalishaji
Prostitute,kahaba
Protection,ulinzi
Psychology,saikolojia
Punishment,adhabu
Quarantine,karantini
Retirement,kustaafu
Sufficient,kutosha
Supervisor,msimamizi
Supplement,nyongeza
University,chuo kikuu
Vegetarian,mboga
Visibility,kujulikana
Vulnerable,mazingira magumu
Accommodate,malazi
Achievement,mafanikio
Acknowledge,Tambua
Affirmation,uthibitisho
Aggregation,mkusanyiko
Agriculture,kilimo
Alternation,mbadala
Anniversary,maadhimisho ya miaka
Application,maombi
Appointment,uteuzi
Appreciable,kuthaminiwa
Approximate,takriban
Association,muungano
Certificate,cheti
Competition,ushindani
Cultivation,ukulima
Corporation,shirika
Cooperation,ushirikiano
Dehydration,upungufu wa maji mwilini
Discontinue,kusitisha
Elimination,kuondoa
Environment,mazingira
Evaporation,uvukizi
Examination,uchunguzi
Expenditure,matumizi
Fabrication,utengenezaji
Improvement,uboreshaji
Independent,kujitegemea
Information,habari
Inspiration,msukumo
Institution,taasisi
Instruction,maelekezo
Intelligent,mwenye akili
Manufacture,utengenezaji
Measurement,kipimo
Mensuration,hedhi
Observation,uchunguzi
Opportunity,fursa
Participant,mshiriki
Performance,utendaji
Preparation,maandalizi
Significant,muhimu
Temperature,joto
Translation,tafsiri
Transparent,uwazi
Vaccination,chanjo
Abbreviation,ufupisho
Administrate,simamia
Appreciation,kuthamini
Accommodation,malazi
Accompaniment,kusindikiza
Administrator,msimamizi
Advertisement,tangazo
Administration,utawala
Acknowledgement,kukiri
Conformation,conformation
Conservation,uhifadhi
Constitution,katiba
Construction,ujenzi
Contribution,mchango
Communication,mawasiliano
Classification,uainishaji
Congratulation,pongezi
Disadvantage,hasara
Entrepreneur,mjasiriamali
Entertainment,burudani
Extraordinary,isiyo ya kawaida
Horticulture,kilimo cha bustani
Intermediate,kati
Introduction,utangulizi
Investigation,uchunguzi
International,kimataifa
Identification,kitambulisho
Justification,kuhesabiwa haki
Knowledgeable,mwenye ujuzi
Maintainable,inayoweza kudumishwa
Organization,shirika
Presentation,uwasilishaji
Preservation,uhifadhi
Purification,utakaso
Participation,ushiriki
Registration,usajili
Reproduction,uzazi
Satisfaction,kuridhika
Self-confidence,kujiamini
Transformation,mabadiliko
Transportation,usafiri
